"","Company","Report_Date","OperatingExpenses","Last_Year_OperatingExpenses","Growth"
"389","USB",2019-06-30,3.153e+09,3.085e+09,0.022
"390","WFC",2009-06-30,1.2697e+10,NA,NA
"391","WFC",2009-09-30,1.1684e+10,NA,NA
"392","WFC",2009-12-31,1.2821e+10,NA,NA
"393","WFC",2010-03-31,1.2117e+10,NA,NA
"394","WFC",2010-06-30,1.2746e+10,1.2697e+10,0.004
"395","WFC",2010-09-30,1.2253e+10,1.1684e+10,0.049
"396","WFC",2010-12-31,1.334e+10,1.2821e+10,0.04
"397","WFC",2011-03-31,1.2733e+10,1.2117e+10,0.051
"398","WFC",2011-06-30,1.2475e+10,1.2746e+10,-0.021
"399","WFC",2011-09-30,1.1677e+10,1.2253e+10,-0.047
"400","WFC",2011-12-31,1.2508e+10,1.334e+10,-0.062
"401","WFC",2012-03-31,1.2993e+10,1.2733e+10,0.02
"402","WFC",2012-06-30,1.2397e+10,1.2475e+10,-0.006
"403","WFC",2012-09-30,1.2112e+10,1.1677e+10,0.037
"404","WFC",2012-12-31,1.2896e+10,1.2508e+10,0.031
"405","WFC",2013-03-31,1.24e+10,1.2993e+10,-0.046
"406","WFC",2013-06-30,1.2255e+10,1.2397e+10,-0.011
"407","WFC",2013-09-30,1.2102e+10,1.2112e+10,-0.001
"408","WFC",2013-12-31,1.2085e+10,1.2896e+10,-0.063
"409","WFC",2014-03-31,1.1948e+10,1.24e+10,-0.036
"410","WFC",2014-06-30,1.2194e+10,1.2255e+10,-0.005
"411","WFC",2014-09-30,1.2248e+10,1.2102e+10,0.012
"412","WFC",2014-12-31,1.2647e+10,1.2085e+10,0.047
"413","WFC",2015-03-31,1.2507e+10,1.1948e+10,0.047
"414","WFC",2015-06-30,1.2469e+10,1.2194e+10,0.023
"415","WFC",2015-09-30,1.2399e+10,1.2248e+10,0.012
"416","WFC",2015-12-31,1.2599e+10,1.2647e+10,-0.004
"417","WFC",2016-03-31,1.3028e+10,1.2507e+10,0.042
"418","WFC",2016-06-30,1.2866e+10,1.2469e+10,0.032
"419","WFC",2016-09-30,1.3268e+10,1.2399e+10,0.07
"420","WFC",2016-12-31,1.3215e+10,1.2599e+10,0.049
"421","WFC",2017-03-31,1.3792e+10,1.3028e+10,0.059
"422","WFC",2017-06-30,1.3541e+10,1.2866e+10,0.052
"423","WFC",2017-09-30,1.4351e+10,1.3268e+10,0.082
"424","WFC",2017-12-31,1.68e+10,1.3215e+10,0.271
"425","WFC",2018-03-31,1.5042e+10,1.3792e+10,0.091
"426","WFC",2018-06-30,1.3982e+10,1.3541e+10,0.033
"427","WFC",2018-09-30,1.3763e+10,1.4351e+10,-0.041
"428","WFC",2018-12-31,1.3339e+10,1.68e+10,-0.206
"429","WFC",2019-03-31,1.3916e+10,1.5042e+10,-0.075
"430","ZION",2009-06-30,419469000,NA,NA
"431","ZION",2009-09-30,434707000,NA,NA
"432","ZION",2009-12-31,443353000,NA,NA
"433","ZION",2010-03-31,389126000,NA,NA
"434","ZION",2010-06-30,430355000,419469000,0.026
"435","ZION",2010-09-30,456044000,434707000,0.049
"436","ZION",2010-12-31,442801000,443353000,-0.001
"437","ZION",2011-03-31,408375000,389126000,0.049
"438","ZION",2011-06-30,416256000,430355000,-0.033
"439","ZION",2011-09-30,409018000,456044000,-0.103
"440","ZION",2011-12-31,424915000,442801000,-0.04
"441","ZION",2012-03-31,392372000,408375000,-0.039
"442","ZION",2012-06-30,401656000,416256000,-0.035
"443","ZION",2012-09-30,394975000,409018000,-0.034
"444","ZION",2012-12-31,407014000,424915000,-0.042
"445","ZION",2013-03-31,397348000,392372000,0.013
"446","ZION",2013-06-30,411396000,401656000,0.024
"447","ZION",2013-09-30,370663000,394975000,-0.062
"448","ZION",2013-12-31,414840000,407014000,0.019
"449","ZION",2014-03-31,398063000,397348000,0.002
"450","ZION",2014-06-30,406027000,411396000,-0.013
"451","ZION",2014-09-30,394114000,370663000,0.063
