"","Company","Report_Date","Revenue","Last_Year_Revenue","growth","ranked_growth"
"361","USB",2014-06-30,4.809e+09,4.53e+09,0.062,13
"362","USB",2014-12-31,4.826e+09,4.556e+09,0.059,14
"363","USB",2017-03-31,4.894e+09,4.654e+09,0.052,15
"364","USB",2018-06-30,5.284e+09,5.047e+09,0.047,16
"365","USB",2018-12-31,5.433e+09,5.21e+09,0.043,17
"366","USB",2016-09-30,5.013e+09,4.812e+09,0.042,18
"367","USB",2018-03-31,5.099e+09,4.894e+09,0.042,18
"368","USB",2015-09-30,4.812e+09,4.623e+09,0.041,19
"369","USB",2018-09-30,5.326e+09,5.156e+09,0.033,20
"370","USB",2015-03-31,4.588e+09,4.452e+09,0.031,21
"371","USB",2017-09-30,5.156e+09,5.013e+09,0.029,22
"372","USB",2019-06-30,5.43e+09,5.284e+09,0.028,23
"373","USB",2014-09-30,4.623e+09,4.537e+09,0.019,24
"374","USB",2019-03-31,5.173e+09,5.099e+09,0.015,25
"375","USB",2012-12-31,4.613e+09,4.551e+09,0.014,26
"376","USB",2016-03-31,4.654e+09,4.588e+09,0.014,26
"377","USB",2014-03-31,4.452e+09,4.415e+09,0.008,27
"378","USB",2016-12-31,4.895e+09,4.854e+09,0.008,27
"379","USB",2015-12-31,4.854e+09,4.826e+09,0.006,28
"380","USB",2013-03-31,4.415e+09,4.392e+09,0.005,29
"381","USB",2013-06-30,4.53e+09,4.543e+09,-0.003,30
"382","USB",2017-06-30,5.047e+09,5.07e+09,-0.005,31
"383","USB",2013-12-31,4.556e+09,4.613e+09,-0.012,32
"384","USB",2013-09-30,4.537e+09,4.634e+09,-0.021,33
"385","USB",2015-06-30,4.707e+09,4.809e+09,-0.021,33
"386","USB",2009-06-30,2.714e+09,NA,NA,NA
"387","USB",2009-09-30,2.744e+09,NA,NA,NA
"388","USB",2009-12-31,2.938e+09,NA,NA,NA
"389","USB",2010-03-31,2.96e+09,NA,NA,NA
"390","WFC",2011-03-31,1.8119e+10,1.6118e+10,0.124,1
"391","WFC",2010-12-31,1.8505e+10,1.6783e+10,0.103,2
"392","WFC",2012-09-30,1.9622e+10,1.7817e+10,0.101,3
"393","WFC",2012-03-31,1.9641e+10,1.8119e+10,0.084,4
"394","WFC",2012-12-31,2.0117e+10,1.8565e+10,0.084,4
"395","WFC",2010-09-30,1.7429e+10,1.6355e+10,0.066,5
"396","WFC",2011-06-30,1.8548e+10,1.7405e+10,0.066,5
"397","WFC",2013-06-30,2.0726e+10,1.9489e+10,0.063,6
"398","WFC",2012-06-30,1.9489e+10,1.8548e+10,0.051,7
"399","WFC",2013-09-30,2.0403e+10,1.9622e+10,0.04,8
"400","WFC",2014-12-31,2.0958e+10,2.0302e+10,0.032,9
"401","WFC",2017-12-31,2.1399e+10,2.0777e+10,0.03,10
"402","WFC",2017-06-30,2.168e+10,2.1088e+10,0.028,11
"403","WFC",2017-03-31,2.165e+10,2.1109e+10,0.026,12
"404","WFC",2011-09-30,1.7817e+10,1.7429e+10,0.022,13
"405","WFC",2014-09-30,2.0845e+10,2.0403e+10,0.022,13
"406","WFC",2016-03-31,2.1109e+10,2.067e+10,0.021,14
"407","WFC",2013-03-31,2.004e+10,1.9641e+10,0.02,15
"408","WFC",2015-03-31,2.067e+10,2.03e+10,0.018,16
"409","WFC",2016-09-30,2.1523e+10,2.1172e+10,0.017,17
"410","WFC",2015-09-30,2.1172e+10,2.0845e+10,0.016,18
"411","WFC",2014-03-31,2.03e+10,2.004e+10,0.013,19
"412","WFC",2018-09-30,2.1361e+10,2.1132e+10,0.011,20
"413","WFC",2013-12-31,2.0302e+10,2.0117e+10,0.009,21
"414","WFC",2015-06-30,2.1018e+10,2.0849e+10,0.008,22
"415","WFC",2014-06-30,2.0849e+10,2.0726e+10,0.006,23
"416","WFC",2018-03-31,2.1743e+10,2.165e+10,0.004,24
"417","WFC",2011-12-31,1.8565e+10,1.8505e+10,0.003,25
"418","WFC",2016-06-30,2.1088e+10,2.1018e+10,0.003,25
"419","WFC",2016-12-31,2.0777e+10,2.0755e+10,0.001,26
